,Time,Tweets,User
45,2020-04-01 20:39:52,#breaking @govkemp to order shelter in place to curb #coronavirus and will sign executive order to close georgia sc… https://t.co/xinz5omrvi,condo29
46,2020-04-01 20:36:34,.@briankempga to sign executive order closing k-12 public schools for the rest of the 2019-2020 school year. tomorr… https://t.co/fq9ogqjls0,condo29
47,2020-04-01 20:34:08,.@briankempga thanks georgians for sharing #covid19 guidelines and holding others accountable. @wsbtv,condo29
48,2020-03-31 21:36:26,"rt @yamiche: at the white house, an aide just passed out this updated wh guidance. it is reiterating that the social distancing coronavirus…",condo29
49,2020-03-31 01:18:35,whoa! https://t.co/6fmdpf1sb9,condo29
50,2020-03-28 20:55:13,... and so much more!  #ripjosephlowery https://t.co/gx5evixzuz,condo29
51,2020-03-28 09:34:37,"rt @emarvelous: as ap’s former race writer, i worked hard to get this one right. i long dreaded the day it would have to run.  https://t.co…",condo29
52,2020-03-28 03:29:45,rest in power. https://t.co/fla3eswxtp,condo29
53,2020-03-27 22:35:59,apple develops an app for #therona  https://t.co/juccwlzruo,condo29
54,2020-03-27 22:34:54,@jovitamoore @charliearogers @wsbtv no. i missed that one.  ??????,condo29
55,2020-03-27 20:20:37,neighbors helping neighbors.  #inthis2gether https://t.co/rcqcpnkjyj,condo29
56,2020-03-27 00:00:58,about to go live with @briankempga on @wsbtv #townhall while practicing #socialdistanacing https://t.co/005iukxz6p,condo29
57,2020-03-25 00:20:41,city of marietta declares emergency through apr 10. https://t.co/hi1yj8ow72 via @mdjonline,condo29
58,2020-03-25 00:19:41,friends in cobb county and the city of marietta - we are on lockdown april 15. https://t.co/ujdvx1hw2n,condo29
59,2020-04-06 17:02:03,"@zeedrdaft mukuro ikusaba the 16th student, hiding somewhere in the academy. the one they call ultimate despair. watch out for her.",kysrosie
60,2020-04-06 17:01:55,"rt @wobbuu: @zeedrdaft mukuro ikusaba the 16th student, hiding somewhere in the academy. the one they call ultimate despair. watch out for…",kysrosie
61,2020-04-06 17:01:51,"rt @zeedrdaft: mukuro ikusaba the 16th student, hiding somewhere in the academy. the one they call ultimate despair. watch out for her.",kysrosie
62,2020-04-06 16:51:36,@zeedrdaft yes https://t.co/pxrnvy0onv,kysrosie
63,2020-04-06 16:48:30,@kvliz ä,kysrosie
64,2020-04-06 16:48:17,?????? ????? ????? ?????? ??? ???? ?? ??????? ????? ??? ?????? ?? ???? ????? ?? ?? ????? ? ?????? ??? ????? ?????? ???? ?? ???? ???? ??????,kysrosie
65,2020-04-06 16:47:59,@kvliz ä,kysrosie
66,2020-04-06 16:45:55,@kvliz ä,kysrosie
67,2020-04-06 16:45:19,@kvliz ä,kysrosie
68,2020-04-06 16:43:20,rt @thechoibois: why does jacob sartorius have a danny phantom icon?????? https://t.co/4iduog5fun,kysrosie
69,2020-04-06 16:43:15,@thechoibois @r01s3y i’m sorry but he looks like a commentary youtuber a. a a a a,kysrosie
70,2020-04-06 16:39:44,yes i liked and rt my own tweet fight me,kysrosie
71,2020-04-06 16:39:31,"rt @kysrosie: stan car insurance, kokichi, and shuichi @geico @statefarm @usaa @libertymutual @allstate @progressive @itsflo https://t.co/t…",kysrosie
72,2020-04-06 16:35:15,@ouma_is_real *hug*,kysrosie
73,2020-04-06 16:34:54,@kinningharmony nice,kysrosie
74,2020-04-06 08:21:17,@skinntywhore this has to be a joke pls-,kysrosie
75,2020-04-06 08:20:59,"rt @skinntywhore: tw : pro ana shit 

damn y’all follow men like this? you sure you wanna do that? 

idk... i’m not cool sexualizing an ed…",kysrosie
76,2020-04-06 08:16:24,"asmr: *kiss* 

me: bitch do i look like i deserve one,???",kysrosie
77,2020-04-06 08:15:54,rt @britishsexyman: https://t.co/d8ujzytbta,kysrosie
78,2020-04-06 07:56:50,i’m staying up listening to asmr of my comfort characters why yes i am very stressed h,kysrosie
79,2020-04-06 15:01:29,"here at dryco, we know how devastating fire damage emergencies can be for home and business owners alike. we not on… https://t.co/za6gzezzlv",DrycoRestorati3
80,2020-04-03 15:00:57,are you looking for new ways to entertain the kids at home? look no further! comment below with your favorite activ… https://t.co/xi4iirordn,DrycoRestorati3
81,2020-04-01 15:00:59,we are remaining open for all your emergency needs! contact us 24/7 at (218) 628-6101 https://t.co/eewdasuokv,DrycoRestorati3
82,2020-04-06 17:33:05,"rt @nhannahjones: when covid-19 first hit america hard last month, the narrative was that it was the great equalizer, that in such a divide…",madelyneortiz_
83,2020-04-06 15:53:12,shout out to the @kccorp manufacturing workers making toilet paper. also i just saw @drsanjaygupta with a kimberly… https://t.co/rqnxespbal,madelyneortiz_
84,2020-04-06 15:46:31,"rt @bodega_gyro_ao: ny elites, ensconced in comfort and wealth, love to flatter nyers into tolerating substandard conditions by calling us…",madelyneortiz_
85,2020-04-06 15:28:55,"rt @nygovcuomo: i am alarmed by the reported increase in domestic violence incidents.

nys wants you to know: you are not trapped because o…",madelyneortiz_
86,2020-04-06 15:24:09,"rt @theemrhammer: if landlords can’t afford their own property without tenants, then it’s the tenants providing them with housing - not the…",madelyneortiz_
87,2020-04-06 15:16:14,microsoft teams &gt; zoom  https://t.co/gmlp6ogukz,madelyneortiz_
88,2020-04-06 15:01:44,they are making ppes in brooklyn! interesting how easy it has become to create manufacturing jobs in america.,madelyneortiz_
89,2020-04-06 01:21:59,"rt @jerickson85: stay home ?. just like 108,600,000 of you did in 2016.",madelyneortiz_
90,2020-04-06 01:15:20,rt @naturallymelo: choose your quarantine character ? https://t.co/wcbnpzlpmv,madelyneortiz_
91,2020-04-06 01:11:53,the one i’m living is more dramatic. https://t.co/ks3mnxjiqc,madelyneortiz_
92,2020-04-05 22:28:21,rt @tim_cook: apple is dedicated to supporting the worldwide response to covid-19. we’ve now sourced over 20m masks through our supply chai…,madelyneortiz_
93,2020-04-05 21:47:38,rt @natashaldaly: breaking: a tiger at the bronx zoo has tested positive for covid-19. 6 other tigers and lions at the zoo are also showing…,madelyneortiz_
94,2020-04-05 21:37:40,rt @ewarren: communities of color face higher risk and more severe consequences from covid-19. if we don't collect data on these racial dis…,madelyneortiz_
95,2020-04-05 21:35:46,navient sent out the email letting us know the “president” passed the cares act. they also told us to make sure to… https://t.co/tuyqm9emhw,madelyneortiz_
96,2020-04-05 21:29:54,@bariawilliams wonder what type of ads will appear. what brands will they place? imagine whip appeal and cool whip appears.,madelyneortiz_
97,2020-04-05 18:40:21,"rt @amariscastillo: can’t wait to read this. in her first adult novel in 14 years, julia alvarez travels home: https://t.co/vx1kpesvfi",madelyneortiz_
98,2020-04-05 16:30:25,“i’m covered in jesus’ blood.” she’s not worried about the virus. the comments ? https://t.co/dubt3p1cru,madelyneortiz_
99,2020-04-05 15:48:26,"rt @pontifex: this astonishes us: god saved us by taking upon himself all the punishment of our sins.  without complaining, but with the hu…",madelyneortiz_
100,2020-04-05 15:46:45,"i am today years old when i found we have a tesla factory in buffalo, ny. apparently parts of a ventilator can be m… https://t.co/vtaf0lxx8r",madelyneortiz_
103,2020-04-06 15:55:15,"rt @1776stonewall: #hydroxychloroquine is trending because sick fuck liberals are openly praying it doesn't work. i swear, i've never seen…",Aprildking65
104,2020-04-06 15:42:40,@prayingmedic god bless all you do.  you are a voice to trust.   this is a moment in time none will forget.   i am… https://t.co/psodvic5mj,Aprildking65
105,2020-04-05 22:00:32,rt @x22report: https://t.co/zgolda7pxw,Aprildking65
106,2020-04-05 21:57:05,"rt @dineshdsouza: should the state have the power to shut down media outlets that spread misinformation and endanger lives? if not, then fo…",Aprildking65
107,2020-04-05 21:29:52,"@x22report @youtube where are the patients? full hospitals, and ers",Aprildking65
108,2020-04-05 21:26:31,@bernardkerik 1000? i demand to start seeing some real hospital ers and hallways,Aprildking65
109,2020-04-05 21:19:17,"@bernardkerik fda, who, fauci, gates, clintons. they are all in on it.  world destruction",Aprildking65
110,2020-04-05 21:17:41,@bernardkerik @x22report @va_shiva x22report spotlight,Aprildking65
111,2020-04-05 21:16:57,"@bernardkerik i sent you a link,  @x22report did an interview with @va_shiva shiv.  a must watch ???",Aprildking65
112,2020-04-04 13:13:07,"@fatherkirby the catholic ""religion"" is doomed.  end it!  they're all pedos",Aprildking65
114,2020-04-04 13:05:36,@jordan_sather_ alex jones is bill hicks https://t.co/zjtgofuuy7,Aprildking65
115,2020-04-04 13:03:03,"@chuckcallesto i wouldn't,  i'd just bitch slap his ass kick his ankles out from under him and watch him cry like a damn baby smh",Aprildking65
116,2020-04-04 13:00:08,@breaking911 fake news,Aprildking65
118,2020-04-01 04:10:35,"@tuckercarlson , really, did i just hear you say, why is australia doing a clip on the truth about dr.'s and corona… https://t.co/u2badvuvop",Aprildking65
119,2020-03-31 01:42:10,@jonle86 @usnavy they're really saving the children.   god bless them so much,Aprildking65
120,2020-03-31 01:38:37,@whosthedummy @abc @usnavy @potus thank god for potus!  news are the enemy. you'll find out soon enough,Aprildking65
121,2020-03-31 01:37:07,"@abc @usnavy so @abc abc why are you refusing to report what is really taking place?  and to think,  you used to be… https://t.co/0gahyhbfbf",Aprildking65
122,2020-04-06 15:52:24,rt @dcopeusa: wsj reports auto ins. companies giving refunds due to low auto use and claims. how about @usaa?  seems the right thing to do.,tracyth50070472
123,2020-04-06 15:49:39,"@usaa @anne_engineer hey usaa, i noticed other companies are returning partial premiums.  we currently pay almost 3… https://t.co/r6ydhrxpq3",tracyth50070472
124,2020-04-04 16:59:41,"rt @rechorrob: when heading to the bank, wear a ski mask for protection #terriblequaratineadvice",tracyth50070472
125,2020-04-04 16:51:27,rt @thesubverse: all the people tweeting about hazard pay for usps employees don't seem to realize there won't be a usps in a few months be…,tracyth50070472
126,2020-04-04 14:03:20,"@michiganhhs @govwhitmer hey governor whitmore, my family pays 3000 every 6 months for auto insurance. only 1 perso… https://t.co/cbepuf1p0m",tracyth50070472
127,2020-04-04 14:00:02,rt @tterisfascist: @govwhitmer #askthegovernor why do you seem to care more about you political aspirations than the people of this state?…,tracyth50070472
128,2020-04-01 23:51:43,"rt @detroitnews: atop the @greektowncasino today: #detroitstrong. (?: max ortiz)

more pics from around the area as we battle #covid19: htt…",tracyth50070472
129,2020-03-30 02:47:39,rt @donaldturnip11: #coronavirustruth covid-19 has passed terrorism for deaths on the year. next up is deaths from exposure. https://t.co/i…,tracyth50070472
130,2020-03-29 19:08:11,"rt @robreiner: i’m not a lawyer, but it seems to me if you’re the most influential person in america and you tell the public that a deadly…",tracyth50070472
132,2020-03-28 02:13:12,@russinmich @govwhitmer #biden2020,tracyth50070472
133,2020-03-28 02:12:42,"rt @russinmich: @govwhitmer this cant stand governor. with you 100%
https://t.co/jx8r4cy0fp",tracyth50070472
135,2020-03-23 16:17:04,"@govwhitmer under the guidelines, i did not see anything covering , if your an essential manufacturing plant that h… https://t.co/ldadjbhylo",tracyth50070472
136,2020-03-22 23:00:16,"rt @ketomomma82: why are parents allowing their kids to go hang out at the parks and have sleep overs? i was asked if my kids could, are yo…",tracyth50070472
137,2020-03-22 22:48:57,rt @lckdownmichigan: ohio has now set a shelter in place for the entire state yet they have drastically less confirmed cases than mi. how l…,tracyth50070472
139,2020-03-22 13:28:28,@david_leavitt shame on them for allowing this. won't see me frequenting this chain anymore. save your toilet paper… https://t.co/vxt3ro4ozw,tracyth50070472
140,2020-03-22 13:12:47,rt @philiphanselmo: please just give us.... 5 minutes malone! @postmalone https://t.co/olbdwsjq5z,tracyth50070472
141,2020-03-22 03:34:23,"rt @andreastables: how to model social distancing while holding a press conference on coronavirus.

and, how to risk the health of your ent…",tracyth50070472
142,2020-04-02 22:49:06,always keeping the simle on my face https://t.co/uzbqu9uo7h,AliciaOniel
143,2018-12-07 02:03:18,"@mrjurss @adidasfballus @adidas adidas. you're a lost cause on the badgers. of course, their fb team is kind of los… https://t.co/wmscafqdil",snowgoose5317
144,2018-12-06 03:47:49,@adidasfballus @adidas @mrjurss will these get you to switch???,snowgoose5317
145,2018-12-05 04:02:58,@leibham1302 awesome!,snowgoose5317
146,2018-01-09 02:37:46,@dbellerson the good ol' days...,snowgoose5317
147,2017-12-17 21:09:15,"@mrjurss don't ever wanna see anybody dismantle the pack, but if someone's gotta do it, it may as well be a guy with a catchy name.",snowgoose5317
148,2016-07-25 13:39:13,@southwestair i'll be by later this am to pick up my bags. excuse me if i'm wearing the same outfit as yesterday ...,snowgoose5317
149,2016-07-25 01:27:21,yay! @southwestair lost my luggage on a straight shot flight from milwaukee to orlando. the folks in orlando couldn't care less.,snowgoose5317
150,2013-04-20 03:03:14,@mrjurss same old brewers. segura just 'stole' first base!!!,snowgoose5317
151,2013-03-26 00:44:27,"cc sabathia, prince fielder &amp; ken griffey, jr. also in the house at the amway center tonight. #theyhavebetterseats",snowgoose5317
152,2013-01-15 03:51:24,"@onwisconsin555 the sticker on my license says they can have mine when i'm done with them, but i gotta admit, i'm ridin' em pretty hard ...",snowgoose5317
153,2012-11-07 04:45:12,@onwisconsin555 i've never been more proud of you ...,snowgoose5317
154,2012-10-30 11:27:26,@aborr3s3n good thing the 7:30a cavity was already filled ...,snowgoose5317
155,2012-09-14 02:41:52,@mrjurss i'm aware ... i think i saw a picture or two of some fans in the #21 jersey once upon a time.,snowgoose5317
156,2012-07-09 15:38:14,rt @espnandykatz: 3-point shot: sam dekker already impresses at uw; nc state to be cautious with brown; u17 usa gold: http://t.co/gy2mcaet,snowgoose5317
157,2012-04-26 06:14:08,"@eborresen congratulations, erik. best wishes for much success in the new job! i know you'll be a huge hit!",snowgoose5317
158,2012-03-28 19:21:58,the yankees cannot be excited about the day when #88 plays short and #74 plays third. yikes! http://t.co/vr86gzkt,snowgoose5317
159,2012-03-28 19:21:05,on espn ... http://t.co/jny36hsu,snowgoose5317
160,2012-03-28 19:18:53,it's good to have friends ... http://t.co/k8c4vwvv,snowgoose5317
161,2012-03-28 19:12:29,"down a bus, but plus one frank ... http://t.co/wfkfikm1",snowgoose5317
162,2012-02-22 02:58:05,@mrjurss any idea what the county single game record is? i had thought 52?,snowgoose5317
163,2020-04-06 14:56:46,@usaa what say you? https://t.co/nplxm80q8i,fairwayrunner
164,2020-04-06 14:53:07,@80swrestling_ it's more poffo than savage.,fairwayrunner
165,2020-04-06 02:26:50,"might be a latex shortage due to glove demand, if my sidewalks are correct https://t.co/vaua0ouxm4",fairwayrunner
166,2020-04-06 02:24:37,"@atrupar he sounds like an average commuter going to work. ""this again!? always this.""",fairwayrunner
167,2020-04-05 20:27:09,"@beervana cahvid like hahvad? would be great if boston regionalized ""cohvid""",fairwayrunner
169,2020-04-05 03:29:47,streaming service has been getting spotty i guess because everybody's using service. i'm very glad i still have 20… https://t.co/2kckfu2mwd,fairwayrunner
170,2020-04-04 23:23:11,@windycitywxman i hope they're runners.,fairwayrunner
171,2020-04-04 02:27:19,@jeffsand @bobrossofficial i'm waiting for the peapod book.,fairwayrunner
172,2020-04-03 23:30:18,i'm not wearing a goddam mask. https://t.co/mlh12magnk,fairwayrunner
173,2020-04-03 17:51:39,"rt @abcpolitics: gov. andrew cuomo recalls outpouring of help that arrived in new york city after 9/11 attacks: ""nobody asked—they just sho…",fairwayrunner
174,2020-04-02 22:55:27,"i would love a rescheduled open at @pinehurstresort &amp; if two courses are needed, imagine sharing the event on #2 an… https://t.co/ndy5rjk07v",fairwayrunner
175,2020-04-02 00:06:09,"rt @kurt_vonnegut: enjoy the little things in life, for one day you'll look back and realize they were big things.",fairwayrunner
176,2020-04-01 01:36:21,"rt @endpopcountry: these times suck...
but paradise by john prine, featuring bill murray doesn’t! 
 https://t.co/ep4suqiz00",fairwayrunner
177,2020-03-31 04:30:29,"@cnbenton1 @lindsaycrouse image if houghton, hachette, penguin, s&amp;s etc just said, ""we're relocating to ann arbor"".… https://t.co/giqlog5lvp",fairwayrunner
178,2020-03-31 04:00:34,and the beauty is...if there is *no office* you don't have to pick one. you can do them all! https://t.co/b3uoqv1ifu,fairwayrunner
179,2020-03-31 03:59:06,maybe alaska too. https://t.co/b3uoqv1ifu,fairwayrunner
180,2020-03-31 03:57:24,"north carolina, montana, idaho, arizona, colorado, california, new mexico, wyoming, and maybe michigan. https://t.co/ok2s7wsoay",fairwayrunner
181,2020-03-30 16:17:08,"bleachers, always. https://t.co/ygtrsxfq5k https://t.co/m7sqj1elew",fairwayrunner
182,2020-03-29 22:56:51,"rt @ronsexsmith: this is the absolute worst news. i love john prine
and this is just not fair. send out prayers and or positive thoughts an…",fairwayrunner
183,2020-04-05 22:11:42,"@alexberenson apologies, the data you’re putting out...are you saying other than a “hotspot” (nyc)...we are starting to see a decrease?",BumpW74
184,2020-03-31 23:56:17,"@ebischoff when’s the podcast on the real stars of wcw...disco inferno, alex wright, perry saturn, etc???",BumpW74
185,2020-03-31 21:58:01,rt @mike_pence: 30 days to slow the spread: https://t.co/gi3qrbofaa,BumpW74
186,2020-03-28 22:18:49,"“ribs-day!”
that pig was delicious!!!! @ chancellor, virginia https://t.co/bv2rt8kvel",BumpW74
187,2020-03-25 00:24:37,@nbcthisisus you better give us the definitive answer on who is kevin’s baby mamma!!!!!!!!!@justinhartley… https://t.co/kchfdawson,BumpW74
188,2020-03-24 10:11:46,"@rheaseehorn @mrbobodenkirk have enjoyed every minute of bcs since it launched, but the performance of rhea this se… https://t.co/ikyqhfhkem",BumpW74
189,2020-03-22 22:37:05,@ebischoff just start listening to @83weeks. jumped immediately to bischoff vs flair. the return on flair in sc was… https://t.co/d3whzyd3wg,BumpW74
190,2020-03-22 17:17:09,"10 miles, 3.7mph, carrying 40lbs in the ruck!
#btty @ fredericksburg, virginia https://t.co/5lbcbmaqfw",BumpW74
191,2020-03-20 19:40:55,"30lb plate in pack, 45lb sandbag on shoulders!  2.13 miles. @ fredericksburg, virginia https://t.co/i9v1rg2r4q",BumpW74
192,2020-03-20 15:26:31,@brentsobleski but i thought depo and berry were data-nerds and would strip the roster down....,BumpW74
193,2020-03-19 13:38:40,@wwegraves @afterthebellwwe @baroncorbinwwe that was a very good interview. i’ll admit not previously being a fan o… https://t.co/ov9kmhtvfi,BumpW74
194,2020-03-19 02:15:01,"@brentsobleski @thespazdawg gotta admit, aew is kicking ass and made a return to professional wrestling instead of scripted matches",BumpW74
195,2020-03-19 02:11:07,@brentsobleski @thespazdawg big night for new additions to aew,BumpW74
196,2020-03-18 02:40:32,"time for change? facial balding? ready to don/clear the gas mask? @ fredericksburg, virginia https://t.co/lrgbfdqeks",BumpW74
197,2020-03-16 21:15:47,@brentsobleski @jaredkmueller @jake_burns18 but i thought berry and depo we’re leading us to another 1-31 stretch????,BumpW74
198,2020-03-14 19:05:30,"rt @google: do these five simple things to help stop coronavirus (covid-19). 

do the five 
1?? hands: wash them often
2?? elbow: cough int…",BumpW74
199,2020-03-14 16:23:27,"@katinthecle @illstr8r hypochondriac here plus got my flu shot recently! every itch, twitch, sniffle has me on my seats edge",BumpW74
200,2020-03-11 09:49:18,no acting expert but @themandymoore’s performance all season has been exceptional!!!  what say you @spinnershells? https://t.co/a9ewpemzmv,BumpW74
201,2020-03-10 01:37:07,"@samanthabusch a similar option is iuf, or intra-uterine fertilization.",BumpW74
202,2020-03-08 15:28:37,"4 mile battlefield ruck @ spotsylvania county, virginia https://t.co/egibgck2et",BumpW74
203,2020-04-06 17:14:48,@dougstafford @gabby_hoffman @governorva half past never.,jamieva74
204,2020-04-06 17:13:53,"@gabby_hoffman @dougstafford it should, but we both know northam won’t roll it back now...",jamieva74
205,2020-04-06 17:11:46,"@wilsonkristiana @radioelvis @kellyo @nygovcuomo have to send the numbers coming out today? nyc is already at peak,… https://t.co/f1fpjwmrjr",jamieva74
206,2020-04-06 16:41:31,@ewerickson i'd rather watch paint dry.,jamieva74
207,2020-04-06 16:40:22,@gobeachie @brianstelter ditto,jamieva74
208,2020-04-06 16:18:25,@wisdom_of_jkids @alxplorer @alexberenson @ihme_uw https://t.co/if5hytgpvs,jamieva74
209,2020-04-06 16:17:27,@radioelvis @kellyo @nygovcuomo are you serious?,jamieva74
210,2020-04-06 15:53:11,"@twoquoque @justin_hart correct. as i understand it, the assumptions regarding quarantine have not changed in the r… https://t.co/ymml91n3t7",jamieva74
211,2020-04-06 15:51:52,@mattwalshblog how many people are even paying attention to it? it's just background noise.,jamieva74
212,2020-04-06 15:49:06,@jumoffit @yashar and he will be correct.,jamieva74
213,2020-04-06 15:37:06,@neontaster https://t.co/2nsamzc09x,jamieva74
214,2020-04-06 15:35:39,"@mallen2010 i don’t usually defend cnn, but i think he is referring to the possible timing a  structure of the lock… https://t.co/qjiaaeomv8",jamieva74
215,2020-04-06 15:10:28,@eturleye @glennkirschner2 https://t.co/tiba0fsjf8,jamieva74
216,2020-04-06 14:33:38,@resurgent @peterheck not good - https://t.co/glsfwmk35u,jamieva74
217,2020-04-06 13:45:02,@bethb1213 @alicia_smith19 you have no basis on which to make that statement.,jamieva74
218,2020-04-06 12:15:52,@huxijin_gt you and the chinese government will be held accountable. the world will not forget what you’ve done.,jamieva74
219,2020-04-06 12:10:17,@dailycaller https://t.co/pwfwzk4j0c,jamieva74
220,2020-04-06 11:18:23,@tylerfitch1 @claytravis https://t.co/zhwnijqk5a,jamieva74
221,2020-04-05 23:54:19,@ewerickson https://t.co/siujm5xpuy,jamieva74
222,2020-04-05 23:51:34,"@mattwalshblog ditto here in richmond, matt. i had something weird mid - december (fever, aches, fatigue). our 9 yo… https://t.co/atacn0rct8",jamieva74
223,2020-04-05 20:21:19,"@moseskagan agreed, esp across the country. very interested to see whether coastal markets like ours drop all that much.",MTSpeigle
224,2020-04-04 11:16:33,@mstillwell8 honestly surprised it went on this long just based on liability. def don’t want to be the gc looking d… https://t.co/ffgo4cishy,MTSpeigle
225,2020-04-04 03:15:04,anyone else seeing cost of labor going down? had 5 calls from various handymen + gen labor looking for work that we… https://t.co/2xwwnsg03r,MTSpeigle
226,2020-04-04 03:12:34,shutting down home remodels now too. previously “constitution” was allowed https://t.co/fq0w9ifys9,MTSpeigle
227,2020-04-04 03:08:22,"@the_real_persk @nikohrdy do ittttt, we’ll hit these courses ??",MTSpeigle
228,2020-04-03 17:13:35,@jumpinre @9to5repe $325 is a steal! i’m right there with ya at $700,MTSpeigle
229,2020-04-02 03:04:03,@the_real_persk trees &gt; pumpkins for me but that’s a close call,MTSpeigle
